song_id	line_id	line_orig	line_transl
0	6-2	Cause we gon do it together, 너와	Ведь мы сделаем это вместе с тобой
0	6-3	Can you STAY right with me, with me	Можешь остаться со мной, со мной?
0	6-4	Cause we gon do it together, 너와	Ведь мы сделаем это вместе с тобой
0	7-1	You know we go up up yeah we don’t stop	Знаешь, мы идём вверх, да, без остановки
0	7-2	나의 꿈이 내 손끝에 닿을 때까지	До тех пор, пока не прикоснусь к мечте
0	7-3	쉬지 않고 달렸던 난 나를 기억해	Я помню того себя, бежащего без передышки
0	7-4	끝까지 달려 내 꿈이 보일 때까지	Бегу до конца, пока не увижу своей мечты
0	7-5	You know we go up up till we touch the sky	Знаешь, мы идём вверх, да, пока не коснёмся неба
0	7-6	내게 보이지 않아도 저 끝까지 가	Даже не видя конца, дойду до него
0	7-7	잠시 넘어져 조금씩 흔들린대도 절대로 포기는 말아	Даже если упаду и пошатнусь, ни за что не сдамся
0	7-8	This is our start line our start line our start line	Это наш старт, наш старт, наш старт
0	7-9	0325 우리의 시작이야	0325 наше начало
1	0-1	I know I love you	Я знаю, что люблю тебя
1	1-1	이 제로의 세계 속	В этом мире нулей **
1	1-2	I know you’re my 1 & only	Я знаю, ты моя одна и единственная
1	1-3	이 끝이 없던 어둠 속	В этой бесконечной темноте
1	1-4	Like oh my god, so holy	Ты как богиня, такая святая
1	2-1	뭐든 내 두 손끝에선	От одного прикосновения пальцев
1	2-2	부리나케 도망가 멀리	Весь мир убегал далеко
1	3-1	My life before you was a mess	Моя жизнь до тебя не имела смысла
1	3-2	언제나 단 한 판 이길 수 없던 체스	Я даже не мог выиграть партию в шахматах
1	3-3	Oh we	О, да
1	4-1	무저갱의 바닥에서	В этой бездонной яме
1	4-2	넌 유1하게 빛나던 gold	Ты 1ственное*** золото
1	4-3	Now I can't stop thinking bout you	Не могу перестать думать о тебе
1	4-4	When I'm sinking alone	Когда тону в одиночестве
1	5-1	어느 날 내게 나타난 천사	Ангел, однажды представший предо мной
1	5-2	데려가 줘 너의 hometown	Забери меня с собою в рай
1	5-3	I know it's real I can feel it	Я знаю, он реален, я его чувствую
1	6-1	난 문제 투성이 love sick	У меня куча проблем, и из-за любви страдаю я
1	6-2	길이 없었어	Некуда пойти
1	6-3	죽어도 좋았어	Со смертью смирился
1	6-4	I'm a loser in this game	Я как лузер в этой игре
1	7-1	세계의 유1한 법칙	1ственное*** правило этого мира
1	7-2	나를 구해줘	Спаси меня, прошу
1	7-3	내 손을 잡아줘	Руку мою возьми
1	7-4	Please use me like a drug	Используй меня, как наркотик
1	7-5	(I know I love you)	(Я знаю, что люблю тебя)
1	8-1	Say you love me	Скажи, что любишь
1	8-2	Say you love me	Скажи, что любишь
1	8-3	세계의 끝까지	До конца этого мира
1	8-4	All or nothing	Все или ничего
1	8-5	I want all of you	Я хочу тебя
1	8-6	(I know I love you)	(Я знаю, что люблю тебя)
1	9-1	Say you love me	Скажи, что любишь
1	9-2	Say you love me	Скажи, что любишь
1	9-3	세계의 끝까지	До конца этого мира
1	9-4	All or nothing	Все или ничего
1	9-5	I give all of you	Я хочу тебя
1	9-6	(I know I love you)	(Я знаю, что люблю тебя)
1	10-1	아마 난 안될 거야	У меня ничего не получится
1	10-2	천국엔 못 갈 거야	Я не смогу попасть в рай
1	10-3	난 어울리지 않아	Я ему не принадлежу
1	10-4	내 자리 따위 천국엔 없어	Там для меня нет места
1	11-1	뭐든 내 두 발끝에선	От кончиков пальцев ног
1	11-2	새까맣게 물들었었지	Все стало невыносимо тёмным
1	12-1	My life before you was trash	Моя жизнь до тебя была мусором
1	12-2	언제나 단 한 발 붙일 수 없던 match	Я даже не мог поджечь спичку
1	12-3	Oh we	О, да
1	13-1	얼음뿐인 이곳에서	В этой бездонной яме
1	13-2	넌 유1하게 빛나던 glow	Ты 1ственный*** свет
1	13-3	Now I can't stop thinking bout you	Не могу перестать думать о тебе
1	13-4	When I'm sinking alone	Когда тону в одиночестве
1	14-1	그러다 내게 나타난 천사	Ангел, однажды представший предо мной
1	14-2	데려가 줘 너의 hometown	Забери меня с собою в рай
1	14-3	I know it's real I can feel it	Я знаю, он реален, я его чувствую
1	15-1	난 문제 투성이 love sick	У меня куча проблем, и из-за любви страдаю я
1	15-2	길이 없었어	Некуда пойти
1	15-3	죽어도 좋았어	Со смертью смирился
1	15-4	I'm a loser in this game	Я как лузер в этой игре
1	16-1	세계의 유1한 법칙	1ственное*** правило этого мира
1	16-2	나를 구해줘	Спаси меня, прошу
1	16-3	내 손을 잡아줘	Руку мою возьми
1	16-4	Please use me like a drug	Используй меня, как наркотик
1	16-5	(I know I love you)	(Я знаю, что люблю тебя)
1	17-1	구멍 난 영혼에 살이 돋아	Дыра в моей душе начинает исцеляться
1	17-2	추운 대기가 녹아가	И холодный воздух начинает теплеть
1	17-3	제로의 세계 속에	В этом мире нулей**
1	17-4	찾아낸 너라는 온기	Я нашел теплоту, ей была ты
1	17-5	내 모두를 거둬가	Забери меня всего
1	17-6	Girl I need you	Ты нужна мне
1	18-1	난 문제 투성이 love sick	У меня куча проблем, и из-за любви страдаю я
1	18-2	길이 없었어	Некуда пойти
1	18-3	죽어도 좋았어	Со смертью смирился
1	18-4	I'm a loser in this game	Я как лузер в этой игре
1	18-5	세계의 유1한 법칙	1ственное*** правило этого мира
1	18-6	나를 구해줘	Спаси меня, прошу
1	18-7	내 손을 잡아줘	Руку мою возьми
1	18-8	Please use me like a drug	Используй меня, как наркотик
1	18-9	(I know I love you)	(Я знаю, что люблю тебя)
1	19-1	Say you love me	Скажи, что любишь
1	19-2	Say you love me	Скажи, что любишь
1	19-3	세계의 끝까지	До конца этого мира
1	19-4	All or nothing	Все или ничего
1	19-5	I want all of you	Я хочу тебя
1	19-6	(I know I love you)	(Я знаю, что люблю тебя)
1	20-1	Say you love me	Скажи, что любишь
1	20-2	Say you love me	Скажи, что любишь
1	20-3	세계의 끝까지	До конца этого мира
1	20-4	All or nothing	Все или ничего
1	20-5	I give all of you	Я хочу тебя
1	20-6	(I know I love you)	(Я знаю, что люблю тебя)
2	0-1	이젠 다 컸는데	Я уже вырос
2	0-2	왜 자꾸 애 취급해	Но думаешь, что я малыш?
2	0-3	정말 컸다는데	Я ведь и правда вырос
2	0-4	Oh yeah	Оу, да
2	1-1	키만 큰 게 아냐	Я не просто высок
2	1-2	귀엽다 좀 하지 마	Не говори, что я мил
2	1-3	그 웃음은 뭔데	Что это ещё за улыбка?
2	2-1	곧 알게 될 거야	Скоро ты узнаешь
2	2-2	강아지 취급하지만	Считаешь меня щенком
2	2-3	All day all night	Весь день и ночь
2	3-1	내일부턴 내가	С завтрашнего дня
2	3-2	내가 널 지켜줄 거야	Я буду защищать тебя
2	3-3	All day all night	Весь день и ночь
2	4-1	자 이젠 내게 기대 정말로	Теперь по-настоящему положись на меня
2	4-2	이젠 내게 기대 정말로	Теперь положись на меня
2	4-3	왜 넌 웃기만 해 내 맘을 몰라줘 왜 넌	Почему лишь смеёшься, разве не знаешь мои чувства? Так почему?
2	4-4	이젠 내게 기대 정말	Теперь положись на меня
2	4-5	이젠 내게 기대 정말	Теперь положись на меня
2	4-6	Love love	Любовь, любовь
2	4-7	Love love	Любовь, любовь
2	4-8	My 10 months’ love	Моя десятимесячная любовь
2	5-1	서투른 내 몸짓이	Мои неуклюжие жесты
2	5-2	조금 어린 내 말투가	Мой детский тон голоса
2	5-3	미덥잖은 걸 알아	Знаю, что они неряшливы
2	6-1	하지만 기다려	Но лишь подожди
2	6-2	키만큼 맘도 자라서	Моё сердце тоже растёт
2	6-3	All day all night	Весь день и ночь
2	7-1	내일부턴 내가	С завтрашнего дня
2	7-2	내가 널 지켜줄 거야	Я буду защищать тебя
2	7-3	All day all night	Весь день и ночь
2	8-1	자 이젠 내게 기대 정말로	Теперь по-настоящему положись на меня
2	8-2	이젠 내게 기대 정말로	Теперь положись на меня
2	8-3	왜 넌 웃기만 해 내 맘을 몰라줘 왜 넌	Почему лишь смеёшься, разве не знаешь мои чувства? Так почему?
2	8-4	이젠 내게 기대 정말	Теперь положись на меня
2	8-5	이젠 내게 기대 정말	Теперь положись на меня
2	8-6	Love love	Любовь, любовь
2	8-7	Love love	Любовь, любовь
2	8-8	My 10 months’ love love	Моя десятимесячная любовь
2	8-9	Love love	Любовь, любовь
2	8-10	My 10 months’ love	Моя десятимесячная любовь
2	9-1	멋지게 변할게	Я круто оденусь
2	9-2	Woo love 네게 어울리게	Уу, любовь, чтобы подходить тебе
2	9-3	너만 인정해 주면 돼	Осталось лишь признать меня
2	10-1	자 이젠 내게 기대 정말로	Теперь по-настоящему положись на меня
2	10-2	이젠 내게 기대 정말로	Теперь положись на меня
2	10-3	왜 넌 웃기만 해 내 맘을 몰라줘 왜 넌	Почему лишь смеёшься, разве не знаешь мои чувства? Так почему?
2	10-4	이젠 내게 기대 정말	Теперь положись на меня
2	10-5	이젠 내게 기대 정말	Теперь положись на меня
2	10-6	Love love	Любовь, любовь
2	10-7	Love love	Любовь, любовь
2	10-8	My 10 months’ love love	Моя десятимесячная любовь
2	10-9	Love love	Любовь, любовь
2	10-10	My 10 months’ love	Моя десятимесячная любовь
3	0-1	너무 빠르다	Слишком быстро
3	0-2	이 순간을 기다렸는데 너는 어떠냐	Я в ожидании этого момента, а ты?*
3	0-3	조금 겁나 아님 신나	Немного страшно? Или же волнительно?
3	0-4	나는 사실 너를 보내려니 아프다	На самом деле, мне больно тебя отпускать.
3	1-1	하루가 느리게 갈 때마다	Каждый раз, когда день шел медленно
3	1-2	빨리 가라 기도했지만	Я молился, чтобы он прошел побыстрее.
3	1-3	지금 내 심정은 모두 반대야	Сейчас же все наоборот.
3	1-4	지금 이 순간이	Сейчас я бы хотел остановить время
3	1-5	잠시 멈췄으면 좋겠어	Хочу остановиться на мгновение.
3	1-6	시간아 이제 여기 있지 말고	Время, не уходи никуда.
3	2-1	하나 둘 셋 다시금 Back to the 열셋	Один, два, три, вернемся в то время, когда мне было 13.
3	2-2	그때 되고 싶던 가수가 이제는 됐네	Тогда я хотел стать артистом, кем стал сейчас.
3	2-3	아직도 믿기지 않지만 난 행복해	До сих пор не верится, но я счастлив.
3	2-4	내 꿈에 많은 운이	Я очень рад, что мне так повезло на пути к мечте.
3	3-1	근데 내가 꿈을 꾸기 전부터	Еще до того, как у меня появилась мечта,
3	3-2	기대했던 이 순간	Я очень ждал этого момента.
3	3-3	일시 정지하고 싶어 준비도	Но хочу остановить его,
3	3-4	아직 되지 않았는데	Ведь я до сих пор не готов.
3	3-5	저기 멀리 나를 기다리고 있는	Там меня ждет мое
3	3-6	20대가 나를 기다려	Долгожданное двадцатилетие.
3	4-1	왜 이렇게	Почему так
3	4-2	너무나 빠르게 느껴지는 걸까	Чувствуется, что этот день пришел слишком быстро.
3	4-3	이 하루가	Внезапно, когда досчитываешь до трех,
3	4-4	딱 여기서 셋 세고 나면	Все исчезает словно сон,
3	4-5	모든 게 꿈처럼 다 사라지고	Но я хочу вернуться назад в те дни.
3	5-1	Back back back back back back	Вернуться, вернуться, вернуться, вернуться, вернуться, вернуться.
3	5-2	좀 더 전으로	Немного раньше.
3	5-3	내가 매일 떼 떼 떼 떼 떼	Когда, когда, когда, когда, когда, когда, я писал каждый день.
3	5-4	떼쓰던 그때로	Боюсь, если ты отдалишься.
3	5-5	지금이 지나가면 멀어질까 봐	Боюсь, ты больше меня не увидишь.
3	5-6	지금의 나를 다신 못 볼까 봐	Я просто хочу
3	5-7	I just wanna go	Вернуться, вернуться, вернуться, вернуться, вернуться, вернуться.
3	5-8	Back back back back back back	Вернуться назад в то время.
3	6-1	이제 말투는 더욱 어른스럽게	Сейчас мой голос уже взрослее,
3	6-2	좀 서툴지만 당당한 척 걸었네	Но все еще немного нелепо, как я изображаю уверенность.
3	6-3	어른인 척하고 다니는 중학생	Как ученик старшей школы, который пытается казаться взрослым.
3	6-4	처럼 아직 미숙하고	Кажется, я все еще неопытный и непривыкший.
3	7-1	내게 친숙했던 10시 이후	Мне знаком этот лимит
3	7-2	청소년 출입금지 표지판은	На 10 вечера для подростков.
3	7-3	이제 나와 관계없네	Теперь это ко мне не относится,
3	7-4	근데 어째 아빠 엄만	Но мои папа и мама
3	7-5	아직도 날 아이로 보는데	Все еще видят во мне ребенка.
3	7-6	이상하게 나도 아직 이게 익숙해	Странно, но я тоже все еще привыкаю к тому, что я не ребенок.
3	8-1	Pay attention	Обрати внимание,
3	8-2	나이가 몇인데 또 떼써	На вопрос «Сколько тебе лет» я снова раздражаюсь,
3	8-3	곧 있음 나는 청소년이란	Совсем скоро я сниму этот ярлык несовершеннолетнего,
3	8-4	명찰을 뗄 거	С меня этого достаточно,
3	8-5	이쯤 하면 됐어 자연스러워 계속	Хватит неудобств, да, все проходили через это.
3	9-1	매번 되고 싶던 나이 스물	Двадцать лет – это возраст, который я всегда хотел.
3	9-2	남들과 같은 과정을 겪은 건데	Это тот опыт, через который проходили все.
3	9-3	나만 이리 불안할까	Но я ли единственный, кто так переживает?
3	9-4	아님 다른 사람	Или другие люди, как мои мама, папа и брат
3	9-5	가까운 우리 엄마 아빠 형도	Тоже испытывали это чувство? Ведь так?
3	10-1	왜 이렇게	Почему так
3	10-2	너무나 빠르게 느껴지는 걸까	Чувствуется, что этот день пришел слишком быстро.
3	10-3	이 하루가	Внезапно, когда досчитываешь до трех,
3	10-4	딱 여기서 셋 세고 나면	Все исчезает словно сон,
3	10-5	모든 게 꿈처럼 다 사라지고	Но я хочу вернуться назад в те дни.
3	11-1	Back back back back back back	Вернуться, вернуться, вернуться, вернуться, вернуться, вернуться.
3	11-2	좀 더 전으로	Немного раньше.
3	11-3	내가 매일 떼 떼 떼 떼 떼	Когда, когда, когда, когда, когда, когда, я писал каждый день.
3	11-4	떼쓰던 그때로	Боюсь, если ты отдалишься.
3	11-5	지금이 지나가면 멀어질까 봐	Боюсь, ты больше меня не увидишь.
3	11-6	지금의 나를 다신 못 볼까 봐	Я просто хочу
3	11-7	I just wanna go	Вернуться, вернуться, вернуться, вернуться, вернуться, вернуться.
3	11-8	Back back back back back back	Вернуться назад в то время.
3	12-1	그토록 어색했던 곳이	Место, которое раньше было таким неловким,
3	12-2	이젠 나의 집이 되고	Сейчас стало моим домом.
3	12-3	그토록 너무 컸던 서울이	Сеул, который раньше был таким большим,
3	12-4	이젠 내게 작게 보여	Сейчас кажется маленьким.
3	13-1	내가 그때 꿈을 꾸며 이륙했는데	Тогда я взлетал с мечтами,
3	13-2	이제는 창밖을 보며 착륙 준비를 해	А сейчас смотрю в окно и готовлюсь к посадке.
3	13-3	내가 그때 꿈을 꾸며 이륙했는데	Тогда я взлетал с мечтами,
3	13-4	이제는 창밖을 보며 착륙 준비를 해	А сейчас смотрю в окно и готовлюсь к посадке.
4	0-2	
뜨거웠던 여름, 잠깐 못 본 새	
Жаркое лето, давно не виделись
4	0-3	
훌쩍 커버린 내 키	
Я немного подрос,
4	0-4	
잔뜩 낮아진 내 목소리	
Мой голос стал ниже
4	0-5	
나도 머리부터 발끝까지 어색해	
Чувствую себя неловко с головы до пят
4	0-6	
커진 키만큼이나 서먹서먹해	
Настолько, насколько я вырос
4	0-7	
To you	
(Для тебя)
4	1-1	친구인 네게	Каждую ночь без звука
4	1-2	
남자인 척 굴게 돼	
Я расту и чувства тоже
4	1-3	
소리 없이 매일 밤	
Думаю, что стал больше шаг
4	1-4	
커진 키와 널 향한 맘	
(Мое сердце видит тебя)
4	1-5	
발을 맞춰 자라났나 봐	
Мое сердце
4	1-6	
너를 보는 내 맘	
(Сильно отличается от прежнего)
4	1-7	
나의 맘	
Сердце растёт, но
4	1-8	
예전과 많이 달라	
Всё держу в себе
4	1-9	
자라버린 내 맘	
Пройди вперёд
4	1-10	
다잡지만 자꾸 혼자	
(Чуть-чуть подальше)
4	1-11	
앞서가잖아	
Ты не знаешь
4	1-12	
한 뼘만큼 멀리	
(Между нами 20 см)
4	2-1	서로의 옆에 설 때	Стоя рядом друг с другом,
4	2-2	
코 끝을 간지럽히는 샴푸 냄새	
Чувствую запах твоего шампуня
4	2-3	
머리를 쓰담쓰담 하고 싶어	
(Хочу погладить тебя по голове)
4	2-4	
올려다보는 너의	
Ты смотришь вверх
4	2-5	
턱을 간지럽히고 싶어 ooh ooh ooh yey	
(Хочу пощекотать твой подбородок)
4	3-1	나풀나풀 대는	Твои пушистые ресницы,
4	3-2	
너의 속눈썹 개수도	
Количество твоих ресничек,
4	3-3	
여기 수학공식처럼	
Как математическую формулу,
4	3-4	
다 하나하나 외워버리고 싶어	
Хочу запомнить все один к одному
4	4-1	소리 없이 매일 밤	Каждую ночь без звука
4	4-2	
커진 키와 널 향한 맘	
Я расту и чувства тоже
4	4-3	
발을 맞춰 자라났나 봐	
Думаю, что стал больше шаг
4	4-4	
너를 보는 내 맘	
(Мое сердце видит тебя)
4	4-5	
나의 맘	
Мое сердце
4	4-6	
예전과 많이 달라	
(Сильно отличается от прежнего)
4	4-7	
자라버린 내 맘	
Сердце растёт, но
4	4-8	
다잡지만 자꾸 혼자	
Всё держу в себе
4	4-9	
앞서가잖아	
Пройди вперёд
4	4-10	
한 뼘만큼 멀리	
(Чуть-чуть подальше)
4	4-11	
넌 몰라	
Ты не знаешь
4	4-12	
우린 20cm 차이	
(Между нами 20 см)
4	5-1	도서관 맨 위 칸 책들도 whoa whoa	Книги на верхних полках в библиотеке, (воу-воу)
4	5-2	
내가 꺼내줄게 whoa whoa	
Я их достану (воу-воу)
4	6-1	떡볶이 멤버가 필요할 때	Когда тебе нужно с кем-то поесть ттоккпокки1
4	6-2	
무조건 네 편이 필요할 때	
Когда тебе нужно с кем-то поговорить,
4	6-3	
그저 고개 들면 그 곳에	
Просто посмотри сюда
4	6-4	
내가 항상 있을게	
Я всегда буду здесь
4	7-1	몰랐어 네 향기	Я не знал твой запах
4	7-2	
너의 말투, 작은 손도	
Твой тон, твои маленькие руки
4	7-3	
다 특별한 건지	
Это все особенное?
4	7-4	
너를 보는 내 맘	
(Мое сердце видит тебя)
4	7-5	
예전과는 많이 달라	
(Сильно отличается от прежнего)
4	7-6	
놀랐어 내 키가	
Я удивлен своим ростом
4	7-7	
내 어깨가 널 꼭 맞춰	
Мои плечи подходят к твоим
4	7-8	
자라난 건지	
Неужели, я подрос?
4	7-9	
너와 나의 거리	
(Расстояние между нами)
4	7-10	
더 가까워지고 싶어	
(Хочу стать ближе)
4	8-1	그러니까 혹시	Так что может быть
4	8-2	
나 다가가도 괜찮겠니?	
Ты не против, если я подойду к тебе?
4	8-3	
한 뼘만큼만 더 너에게 whoa oh yey	
Чуть-чуть ближе (воу-оу-йе)
5	0-1	24시간이 모자라	24 часа (этого не достаточно)
5	0-2	너와 함께 있으면	Если я с тобой
5	0-3	너와 눈을 맞추면	Если я смотрю в твои глаза
5	0-4	24시간이 모자라	24 часа (этого мало)
5	0-5	내가 너를 만지고	Я прикасаюсь к тебе и ты
5	0-6	니가 나를 만지면	Касаешься меня
5	1-1	24시간 우우우	24 часа ву
5	1-2	24시간	24 часа
5	1-3	24시간 우우우	24 часа ву
5	1-4	24시간	24 часа
5	2-1	시간이 너무나 빨리 가	Время летит так быстро
5	2-2	너와의 하루가 일분 같아	Один день, проведенный с тобой равняется секунде
5	2-3	난 미칠 것 같아	Я сойду с ума
5	2-4	(아쉬워 아쉬워)	(Это печально)
5	2-5	너에게 갈 때는 달려가	Когда я иду к тебе, я бегу
5	2-6	떠나야 할 때는 발이	А когда мне надо уходить, мои ноги не двигаются, они не могут уйти
5	2-7	안가 떨어지질 않아	(Это печально)
5	3-1	널 보고 있으면	Когда я смотрю на тебя
5	3-2	모든 걸 다 잊어버려	Я забываю обо всём
5	3-3	니가 나를 가득 채워	Когда я обнимаю тебя
5	3-4	널 안고 있으면	Ты заполняешь меня
5	3-5	모든 게 완벽해 이대로	Всё становится идеальным
5	3-6	영원히 있고 싶어	Я хочу что бы это длилось вечно
5	4-1	24시간이 모자라	24 часа (этого не достаточно)
5	4-2	너와 함께 있으면	Если я с тобой
5	4-3	너와 눈을 맞추면	Если я смотрю в твои глаза
5	4-4	24시간이 모자라	24 часа (этого мало)
5	4-5	내가 너를 만지고	Я прикасаюсь к тебе и ты
5	4-6	니가 나를 만지면	Касаешься меня
5	5-1	24시간 우우우	24 часа ву
5	5-2	24시간	24 часа
5	5-3	24시간 우우우	24 часа ву
5	5-4	24시간	24 часа
5	6-1	손길이 닿으면 전기가	Когда наши руки переплетаются
5	6-2	온몸에 퍼져서 눈을 감아	Моё тело захватывает электричество
5	6-3	나 어쩌면 좋아	Я закрываю глаза
5	6-4	(미쳐가 미쳐가)	Что я делаю?
5	6-5	마실수록 목이 더 말라	(Схожу с ума)
5	6-6	맛 볼수록 몸이 더욱 찾아	Чем больше я пью, тем сильнее становится моя жажда
5	6-7	나 빠져 들어가	Чем больше я вкушаю, тем сильнее моё тело просит добавки
5	6-8	(미쳐가 미쳐가)	Я растворяюсь в тебе
5	7-1	널 보고 있으면	Когда я смотрю на тебя
5	7-2	모든 걸 다 잊어버려	Я забываю обо всём
5	7-3	니가 나를 가득 채워	Когда я обнимаю тебя
5	7-4	널 안고 있으면	Ты заполняешь меня
5	7-5	모든 게 완벽해 이대로	Всё становится идеальным
5	7-6	영원히 있고 싶어	Я хочу что бы это длилось вечно
5	8-1	처음 느껴본 감정이라서	Я никогда не испытывала подобного
5	8-2	끝없이 빠져 드는 게 무서워	Меня пугает, что я влюбляюсь в тебя бесконечно
5	8-3	하지만 그게 너라면	Но если это ты
5	8-4	니가 나를 잡아주면	Если ты поймаешь меня
5	8-5	두렵지 않아 난 계속 가고 싶어	Мне не страшно, я буду продолжать
5	9-1	24시간	24 часа ву
5	9-2	24시간	24 часа
5	9-3	24시간	24 часа ву
5	9-4	24시간	24 часа
5	10-1	24시간이 모자라	24 часа (этого не достаточно)
5	10-2	너와 함께 있으면	Если я с тобой
5	10-3	너와 눈을 맞추면	Если я смотрю в твои глаза
5	10-4	24시간이 모자라	24 часа (этого мало)
5	10-5	내가 너를 만지고	Я прикасаюсь к тебе и ты
5	10-6	니가 나를 만지면	Касаешься меня
5	11-1	24시간 우우우	24 часа ву
5	11-2	24시간	24 часа
5	11-3	24시간 우우우	24 часа ву
5	11-4	24시간	24 часа
6	0-1	고요한 밤
1	Как ночь тиха
6	0-2	오늘따라 멈추고 싶은 시간	Хочу, чтобы застыло сегодня время
6	0-3	아무도 모를 단둘만의 공간 ey	В месте, о котором никто не знает, лишь мы вдвоём, эй
6	0-4	Under the stars yeah yeah	Под звёздами, да, да
6	0-5	24 to 25 bae	C 24 на 25
6	0-6	Just STAY with me	Просто останься со мной
6	1-1	Let it snow, let it snow	Пусть снег идёт, пусть снег идёт
6	1-2	눈이 쌓일수록 불안정한 마음	Чем больше снега, тем неустойчивее разум
6	1-3	어딜 가지 못하겠단 말에	Слова о том, что уйти нельзя никуда
6	1-4	더 설레는 너와 나	Так волнуют нас
6	2-1	Now I know, now I know	Теперь я знаю, теперь я знаю
6	2-2	가지고 싶은 선물은 이 순간	Желаемый подарок - этот момент
6	2-3	24 to 25 bae	C 24 на 25
6	2-4	Just STAY with me	Просто останься со мной
6	3-1	어김없이 내려치던 눈보라	Метель, что ударяла меня, не позволяя упасть
6	3-2	올해 쌓인 지친 하루들 다 털어줄게 now	Унесёт все утомительные дни в этом году
6	3-3	오늘은 내게 기대	Положись сегодня на меня
6	3-4	따뜻한 내 품속에 take a break	В моих тёплых объятиях отдохни
6	3-5	I want you to	Я так хочу, чтобы ты
6	4-1	STAY For Christmas	Останься на Рождество
6	4-2	아늑한 오늘 밤	В уютную эту ночь
6	4-3	STAY For Christmas	Останься на Рождество
6	4-4	모든 걸 다 내려놔	Забудь про всё
6	5-1	STAY For Christmas	Останься на Рождество
6	5-2	It's cold outside 내게로 와	На улице холодно, иди ко мне
6	5-3	24 to 25 bae	C 24 на 25, малыш
6	5-4	Just STAY with me	Просто останься со мной
6	6-1	밤새 달리고 싶어 영화 마라톤	Хочу бежать всю ночь, марафон фильмов
6	6-2	과연 보기는 할까	Как насчёт него?
6	6-3	유난히 빛나는 머리 위의 mistletoe	Омела над твоими сияющими волосами
6	6-4	너무 예쁘다	Так красива
6	7-1	달달한 향 풍기는 분위기	Сладкий атмосферы аромат
6	7-2	오늘도 간직할래 memory	Хочу сохранить в воспоминаниях
6	7-3	24 to 25 bae	C 24 на 25, малыш
6	7-4	Just STAY with me	Просто останься со мной
6	8-1	Let it snow, let it snow	Пусть снег идёт, пусть снег идёт
6	8-2	눈이 쌓일수록 하얘지는 밤	Чем больше снега, тем белее ночь
6	8-3	어딜 가지 못하겠단 말에	Слова о том, что уйти нельзя никуда
6	8-4	또 설레는 너와 나	Так волнуют нас
6	9-1	Now I know, now I know	Теперь я знаю, теперь я знаю
6	9-2	가지고 싶은 선물은 이 순간	Желаемый подарок - этот момент
6	9-3	Just STAY with me	Просто останься со мной
6	10-1	어김없이 내려치던 눈보라	Метель, что ударяла меня, не позволяя упасть
6	10-2	올해 쌓인 지친 하루들 다 털어줄게 now	Унесёт все утомительные дни в этом году
6	10-3	오늘은 내게 기대	Положись сегодня на меня
6	10-4	따뜻한 내 품속에 take a break	В моих тёплых объятиях отдохни
